,MODEL,PRICE,MODEL YEAR,CAR AGE,JAPANESE,FUEL,ODOMETER,TITLE STATUS,TRANSMISSION,CONDITION,CYLINDERS,DRIVE,PAINT COLOR,SIZE,TYPE,VIN
421,JEEP WRANGLER,31000,2016.0,6.0,0.0,gas,42838,clean,manual,good,6 cylinders,4wd,purple,full-size,,1C4BJWEG2GL193355
422,MERCEDES BENZ C300,16500,2016.0,6.0,0.0,gas,117000,clean,automatic,good,4 cylinders,rwd,red,mid-size,sedan,
423,JEEP WRANGLER UNLIMITED,42000,2017.0,5.0,0.0,gas,15850,clean,automatic,like new,,4wd,black,full-size,SUV,1C4BJWDG6HL716640
424,VOLKSWAGEN TIGUAN SEL,25500,2019.0,3.0,0.0,gas,22500,lien,automatic,excellent,4 cylinders,4wd,,,,
425,MAZDA 4X4,2250,1991.0,31.0,1.0,diesel,140000,clean,automatic,good,6 cylinders,fwd,grey,full-size,SUV,
426,FORD E350 SHUTTLE BUS,6500,1993.0,29.0,0.0,gas,104000,clean,automatic,good,8 cylinders,rwd,,,,
427,AUDI 06 QUATTRO,5000,2006.0,16.0,0.0,gas,147792,clean,automatic,good,4 cylinders,,,,sedan,WAULL44E96N018166
428,THOMAS SCHOOL BUS,10500,2002.0,20.0,0.0,gas,73000,clean,automatic,excellent,6 cylinders,rwd,blue,mid-size,bus,
429,CHEVROLET S10 PICKUP,9000,2000.0,22.0,0.0,gas,121000,clean,automatic,excellent,6 cylinders,4wd,blue,mid-size,pickup,
430,N/A,45,1964.0,58.0,0.0,gas,100,clean,automatic,good,8 cylinders,fwd,,,,
431,FORD THUNDERBIRD,29000,2004.0,18.0,0.0,gas,13000,clean,automatic,like new,8 cylinders,rwd,red,,,
432,CHEVY SILVERADO,10900,2007.0,15.0,0.0,gas,147000,clean,automatic,excellent,8 cylinders,rwd,,,,
433,FORD F250 SUPER DUTY XLT,20000,1999.0,23.0,0.0,diesel,180000,clean,manual,good,8 cylinders,rwd,white,full-size,truck,
434,FORD F-150 XLT,28500,2013.0,9.0,0.0,gas,55000,clean,automatic,like new,6 cylinders,4wd,black,full-size,truck,
435,CHEVY C10 TRUCK,24500,1968.0,54.0,0.0,gas,1000,clean,automatic,good,8 cylinders,rwd,green,full-size,truck,
436,FORD RANGER XLT,4200,2001.0,21.0,0.0,gas,105500,clean,automatic,fair,4 cylinders,rwd,white,mid-size,pickup,
437,HYUNDAI TUCSON SE SPORT UTILITY,14500,2014.0,8.0,0.0,gas,94000,clean,automatic,excellent,4 cylinders,fwd,grey,mid-size,SUV,
438,GMC SIERRA 1500,65000,2020.0,2.0,0.0,gas,16700,clean,automatic,like new,8 cylinders,4wd,blue,full-size,truck,
439,OLDSMOBILE 88 4DR SDN,16900,1956.0,66.0,0.0,gas,,clean,automatic,excellent,8 cylinders,rwd,custom,full-size,sedan,
440,FORD RANGER,13500,1984.0,38.0,0.0,gas,100000,clean,manual,excellent,,rwd,custom,mid-size,pickup,
441,MERCEDES BENZ 300SD,2000,1984.0,38.0,0.0,diesel,244889,clean,automatic,fair,5 cylinders,rwd,brown,full-size,sedan,
442,FORD MUSTANG COUPE,15500,1989.0,33.0,0.0,gas,100000,clean,manual,good,,rwd,blue,mid-size,coupe,
443,GMC,11000,1989.0,33.0,0.0,diesel,200000,clean,automatic,good,,,white,full-size,truck,1GDG7D1G3KV509241
444,HONDA DEL SOL SI,5400,1995.0,27.0,1.0,gas,336256,clean,manual,good,4 cylinders,fwd,white,compact,coupe,JHMEG1143SS001576
445,GMC JIMMY,1995,1996.0,26.0,0.0,gas,228687,salvage,automatic,fair,6 cylinders,4wd,red,full-size,SUV,
446,NISSAN PATHFINDER,2500,1996.0,26.0,1.0,gas,290000,clean,automatic,fair,6 cylinders,4wd,white,mid-size,SUV,
447,JAGUAR XJ6,4000,1997.0,25.0,0.0,gas,111806,clean,automatic,excellent,6 cylinders,rwd,blue,mid-size,sedan,SAJHX1240VC802608
448,GMC SIERRA 2500HD,5500,2001.0,21.0,0.0,gas,302000,clean,automatic,good,8 cylinders,rwd,white,full-size,truck,
449,JEEP LIBERTY SPORT,2900,2002.0,20.0,0.0,gas,172000,clean,automatic,good,,,,,,
450,CHEVROLET TAHOE,5250,2004.0,18.0,0.0,gas,264000,clean,automatic,excellent,8 cylinders,4wd,white,full-size,SUV,
451,HONDA PILOT,3500,2004.0,18.0,1.0,gas,,clean,automatic,good,,,,,,
452,VOLKSWAGEN TOUAREG V6,7500,2004.0,18.0,0.0,gas,77400,salvage,automatic,excellent,6 cylinders,4wd,green,mid-size,SUV,
453,TOYOTA CAMRY,2200,2005.0,17.0,1.0,gas,240000,clean,automatic,good,4 cylinders,fwd,white,mid-size,sedan,
454,VOLKSWAGEN PASSAT,4400,2005.0,17.0,0.0,gas,157000,clean,automatic,excellent,4 cylinders,fwd,silver,mid-size,sedan,
455,CHRYSLER PACIFICA,1500,2007.0,15.0,0.0,gas,196385,clean,automatic,good,,,,,,
456,FORD CROWN VICTORIA POLICE,3500,2008.0,14.0,0.0,gas,156000,clean,automatic,,,,,,,
457,RAM 3500 HD,26500,2009.0,13.0,0.0,diesel,135000,clean,automatic,like new,6 cylinders,rwd,red,full-size,truck,
458,BMW 128I,9300,2010.0,12.0,0.0,gas,116511,salvage,automatic,excellent,6 cylinders,,,,,
459,TOYOTA TACOMA 4X4,20900,2010.0,12.0,1.0,gas,78000,rebuilt,automatic,,,,,,,
460,HONDA ACCORD,9600,2012.0,10.0,1.0,gas,97000,salvage,automatic,good,4 cylinders,fwd,black,full-size,sedan,
461,INFINITI G37,12500,2012.0,10.0,1.0,gas,52000,rebuilt,automatic,excellent,6 cylinders,rwd,black,mid-size,coupe,
462,DODGE DART,4000,2013.0,9.0,0.0,gas,136000,clean,manual,excellent,4 cylinders,fwd,grey,compact,sedan,
463,ACURA RDX,15500,2014.0,8.0,1.0,gas,112000,clean,automatic,excellent,,,,,,
464,HONDA CR-V EXL,15000,2014.0,8.0,1.0,gas,137000,clean,automatic,excellent,4 cylinders,,,,,
